Fid,Gender,Age,Bank_Account,Bank_Name,Trans_Amount,Transno,Balance,Trans_Type,Trans_Date,Location,Fraud
245.175.215.245.115.15-56,Male,62,XQSP24701907243045,Global Bank,1629.98,3664,11470.19,Credit,2022-08-30,Mumbai,0
155.165.142.244.205.109-85,Female,23,KRKW88335485545336,Global Bank,799.39,4553,15009.2,Debit,2023-07-24,Mumbai,0
214.152.44.203.168.165-64,Male,73,IXIR27523357070263,Capital Trust,1808.65,2673,10941.02,Credit,2024-10-16,Sydney,0
252.128.8.212.223.155-48,Female,23,PIKU91213330097156,Summit Bank,4480.31,5047,48249.68,Credit,2021-12-09,Beijing,0
84.109.172.126.6.170-15,Male,19,VRTX82231141106404,Unity Bank,3449.66,1442,13794.59,Credit,2023-10-25,Tokyo,1
194.79.85.186.108.53-91,Male,20,WVWO70930957348979,Summit Bank,9831.6,3770,44546.01,Credit,2023-03-26,Mumbai,0
36.199.47.125.230.139-76,Male,67,EVVP14856607287135,Global Bank,6305.95,5413,48274.97,Debit,2024-11-05,Sydney,0
91.163.59.63.61.6-19,Female,45,FMPB49714184200079,Unity Bank,8841.52,6990,42738.84,Credit,2023-04-06,Sydney,0
240.203.204.172.231.45-94,Female,37,XFRM97475519351189,Unity Bank,3401.95,3547,41124.81,Credit,2023-06-14,Sydney,1
182.117.205.209.160.228-16,Male,36,EWLN25231210217545,Summit Bank,3916.05,8280,40616.98,Debit,2022-04-11,London,0
107.180.159.187.159.218-67,Female,52,XHJU61652227083131,Global Bank,2695.65,9416,17261.22,Debit,2023-03-09,Beijing,0
114.181.1.33.174.154-55,Female,19,NNIT87497290884652,Summit Bank,9870.07,7472,28985.19,Credit,2022-10-15,Beijing,0
10.185.43.79.185.191-87,Male,36,LJBL71764740528422,Unity Bank,5809.87,5020,42125.13,Debit,2022-11-19,Tokyo,1
103.158.183.108.32.78-46,Female,55,ILSE73564389634354,Global Bank,2555.49,9286,11430.39,Debit,2021-12-18,Sydney,1
252.221.96.239.206.45-79,Female,52,BASM04097891377744,Unity Bank,8931.1,9664,39659.48,Credit,2024-10-12,Beijing,1
141.209.115.74.67.250-49,Male,74,QLGJ37931662927442,Summit Bank,1069.32,1269,43339.62,Credit,2023-03-20,Tokyo,0
38.119.29.178.207.108-75,Male,60,LIFX15720775184376,Summit Bank,6004.48,9036,33489.82,Debit,2024-02-11,Tokyo,0
226.8.23.18.171.171-23,Female,31,HRVL33685634498045,Pioneer Savings,6003.27,6355,2447.29,Debit,2022-12-14,New York,0
29.185.210.130.178.80-35,Female,35,IMHT61225264975054,Global Bank,6446.41,7717,1149.86,Debit,2024-08-13,London,1
89.110.166.209.168.107-33,Male,55,NMFK87743392365556,Pioneer Savings,28.86,4805,43801.33,Debit,2024-04-14,Tokyo,1
60.74.168.82.83.76-68,Male,27,FFOT29301416892676,Unity Bank,9447.84,7337,3865.12,Credit,2023-01-24,New York,0
10.110.154.251.218.209-74,Female,49,EDIZ24163179847930,Capital Trust,4477.86,3446,27070.04,Debit,2024-11-23,Mumbai,1
213.62.156.49.226.210-14,Male,79,IHVY41738399383888,Global Bank,14.43,9764,39020.43,Credit,2022-07-26,Tokyo,1
28.251.16.246.227.55-88,Female,56,SVWX33355361203212,Capital Trust,4658.45,9113,36688.01,Credit,2023-09-13,London,0
54.33.116.24.155.118-61,Female,52,ACID91592936381782,Summit Bank,49.52,2306,21731.96,Debit,2023-06-11,New York,0
84.252.98.100.151.214-75,Female,35,QJVU86462518290795,Pioneer Savings,5883.2,9149,20793.18,Credit,2023-10-07,Berlin,0
217.120.9.226.21.15-51,Male,21,NBLU59173030420035,Pioneer Savings,7698.36,9787,1401.14,Credit,2022-05-01,New York,1
40.198.236.222.67.70-40,Male,55,DQMD29049690090616,Capital Trust,9717.52,6432,28962.26,Credit,2023-09-19,London,0
225.51.181.27.87.72-11,Female,34,MPJS89342649666103,Capital Trust,2115.94,2833,23463.07,Credit,2022-07-15,Sydney,1
123.4.9.119.175.164-58,Male,34,RKMR39007532409915,Summit Bank,5624.92,5854,32740.0,Debit,2024-08-08,Beijing,1
196.137.220.190.145.77-60,Male,68,CQER75728074234294,Pioneer Savings,2129.12,5349,45335.41,Credit,2024-10-16,Mumbai,0
137.159.99.195.12.193-22,Female,71,BGZX62731740496531,Capital Trust,3881.87,3802,25288.4,Credit,2022-08-30,Beijing,1
234.193.236.224.93.38-22,Male,57,JKII76324654405396,Global Bank,6021.17,6693,6530.87,Debit,2022-09-21,Beijing,1
7.128.19.24.226.114-36,Male,65,PZNI25602210811807,Unity Bank,9061.41,3447,49201.61,Debit,2022-10-18,Sydney,1
25.115.112.253.19.186-21,Female,25,UFNP25316942971220,Summit Bank,9650.56,6311,45216.7,Debit,2023-04-30,Mumbai,0
128.7.110.40.180.133-81,Female,27,PZFN09391411463838,Global Bank,4986.37,9059,35529.06,Debit,2021-12-03,New York,0
199.124.214.100.136.187-57,Female,73,EUJS83531221053293,Unity Bank,4506.35,7268,33301.03,Debit,2022-11-13,New York,1
81.103.171.43.14.95-23,Female,74,ZRSY98297591897807,Pioneer Savings,8864.12,6590,20737.83,Credit,2023-04-06,London,0
236.122.193.240.144.178-29,Male,62,HPUD12270772854717,Summit Bank,2345.81,6708,6236.71,Credit,2023-04-21,Tokyo,0
89.247.157.155.179.33-58,Male,39,YFOU24255937699285,Unity Bank,1968.98,4130,44813.59,Credit,2023-10-09,Mumbai,1
17.86.170.135.52.196-76,Male,25,BTSZ72545617146997,Summit Bank,336.61,9395,7053.34,Debit,2023-09-14,Mumbai,0
180.130.40.225.21.112-77,Male,65,LAAW63299665626248,Global Bank,8781.48,2229,41664.73,Credit,2022-05-26,Beijing,1
176.227.191.189.127.177-67,Female,31,DDQW19061941343131,Unity Bank,5922.56,4007,26708.41,Credit,2024-09-10,Beijing,0
71.243.200.80.236.165-65,Female,60,RGEH83850120167183,Summit Bank,9589.66,8505,23615.88,Credit,2024-09-18,London,1
81.125.35.52.133.63-63,Female,21,GWFP78801947381515,Summit Bank,8504.18,3775,46105.82,Credit,2023-01-10,Tokyo,1
30.121.209.129.111.59-67,Male,49,TUPL00438486896619,Unity Bank,7894.89,5075,38619.05,Credit,2022-04-27,New York,0
104.152.136.14.250.159-99,Female,75,YUGQ07927460435644,Pioneer Savings,8919.22,5543,16791.59,Credit,2024-09-16,Mumbai,0
83.207.137.179.86.52-17,Male,78,BNMW41697896133791,Pioneer Savings,3990.27,1161,15513.75,Debit,2023-12-16,Sydney,1
56.236.174.131.40.145-25,Male,78,PPBJ19168615878713,Global Bank,1909.15,2622,44236.73,Credit,2022-03-19,New York,1
23.90.249.224.22.19-28,Female,57,NLYH11636701204070,Global Bank,9472.07,9189,24739.8,Credit,2024-09-16,London,1
89.246.113.205.40.218-38,Male,36,ADRK61484162443377,Capital Trust,1700.94,7930,20326.33,Debit,2024-07-03,Berlin,0
31.115.123.103.159.106-34,Female,72,OQMN80463406704618,Global Bank,3725.26,1121,22373.02,Debit,2023-04-20,Sydney,1
222.144.159.69.153.69-26,Male,18,KXJJ03720245483748,Global Bank,691.55,2744,3453.24,Credit,2024-10-26,Tokyo,0
85.50.215.49.176.99-22,Female,70,RNRR26124856781036,Unity Bank,1726.31,6119,30592.72,Credit,2022-04-30,Mumbai,1
20.121.49.170.117.252-73,Female,40,MLDU12361733329663,Capital Trust,2402.23,1103,7734.16,Credit,2022-11-12,Berlin,1
71.52.31.228.143.41-76,Male,72,ZOCU76345191274874,Capital Trust,9099.32,9235,34912.46,Credit,2021-12-03,Tokyo,0
98.14.96.28.161.39-87,Female,57,RVKC14717323437959,Summit Bank,2478.61,5792,7139.75,Debit,2024-06-09,Beijing,0
11.176.182.0.151.210-20,Female,23,BZSC01450694866402,Pioneer Savings,6571.63,3950,47573.18,Credit,2024-05-31,Sydney,0
229.94.137.200.132.51-56,Female,49,ZSGE17006422005276,Capital Trust,4589.46,5643,40544.36,Debit,2023-09-18,London,1
168.171.211.125.164.71-12,Male,32,SNSS82936354029057,Unity Bank,3805.1,7456,10594.73,Credit,2024-05-27,New York,1
95.187.51.180.234.119-33,Male,38,IQSF29648893044489,Global Bank,6696.52,9247,26372.11,Debit,2023-04-02,London,1
208.254.81.171.196.114-79,Female,36,UGKH10273180564548,Capital Trust,1495.25,1147,31858.37,Debit,2023-06-09,London,1
224.218.99.97.225.32-52,Female,30,HNLB47869831943789,Summit Bank,2964.04,5184,24922.64,Debit,2022-11-08,Beijing,1
136.116.248.122.130.75-85,Male,18,COIS20790741717698,Capital Trust,7893.1,3397,13235.24,Debit,2021-12-16,London,1
168.240.174.6.232.45-60,Male,50,FKAA34302592262723,Global Bank,5512.42,2515,13282.45,Debit,2024-10-31,New York,0
132.179.64.29.187.81-76,Female,34,ZAIJ78283518213569,Pioneer Savings,4700.32,2410,9852.03,Debit,2023-11-14,Tokyo,0
255.86.222.129.203.151-70,Male,21,FDXX96883889586911,Pioneer Savings,676.19,6523,1052.55,Debit,2024-03-07,London,1
125.126.25.128.231.195-83,Male,58,ISFA23423021134573,Pioneer Savings,353.87,1804,14571.76,Credit,2022-01-03,Berlin,0
110.196.218.79.135.87-26,Female,80,OHHE78833603755544,Capital Trust,2549.11,6722,12315.48,Credit,2022-09-25,Tokyo,0
33.128.57.8.211.84-84,Female,60,DTWD30907845833157,Capital Trust,101.7,3712,22519.93,Debit,2022-10-05,New York,1
183.166.107.238.46.127-23,Male,36,SIFW75163073033474,Global Bank,5711.5,2737,25597.08,Credit,2022-10-06,Beijing,1
138.21.138.163.63.108-88,Male,25,PJMR69929339427362,Global Bank,2903.78,2952,22902.52,Credit,2023-01-22,London,1
81.194.123.247.166.23-17,Female,72,URHB78939758503431,Capital Trust,9205.62,5397,28073.91,Debit,2022-05-24,New York,0
101.252.210.203.198.167-60,Female,57,MNWE12452434278072,Global Bank,8059.15,7220,49210.27,Credit,2024-04-30,New York,0
8.19.199.74.27.192-50,Male,30,TMZM91579954815241,Capital Trust,4977.97,7846,16968.43,Credit,2022-05-10,Sydney,0
34.231.247.189.55.25-51,Female,56,MLVS20152343219569,Unity Bank,7438.65,3359,18253.9,Credit,2023-03-20,Berlin,0
52.193.210.143.213.143-46,Male,75,HSSY51906106006224,Global Bank,528.53,3251,25192.66,Debit,2023-05-03,Mumbai,1
85.145.55.20.247.77-91,Male,75,QEKX36416548158218,Global Bank,9865.04,5363,28848.61,Credit,2023-03-31,Tokyo,0
137.79.14.105.170.137-25,Male,18,SEEP37496932551725,Pioneer Savings,9451.14,4227,9078.92,Debit,2024-10-06,Berlin,0
222.220.86.48.255.222-50,Female,61,PGUE67397901858095,Unity Bank,4481.81,3662,44640.0,Credit,2024-02-17,Mumbai,1
204.166.67.183.189.243-97,Female,78,ROOR26819808950527,Capital Trust,7811.09,4628,31585.87,Credit,2024-06-13,Mumbai,1
191.88.164.53.26.98-81,Male,62,TPQL33739054370510,Pioneer Savings,8833.46,3429,35990.68,Credit,2024-11-25,Tokyo,1
77.220.138.206.157.47-63,Female,56,AWTZ28542213581485,Global Bank,2209.62,1709,6207.12,Debit,2022-11-13,Mumbai,0
46.83.136.183.100.85-28,Male,74,SAVN65246030750419,Global Bank,6131.16,7070,49126.12,Credit,2022-10-10,Mumbai,1
71.120.18.170.40.254-39,Male,80,YQMQ42985493389589,Unity Bank,2883.62,9716,23940.37,Credit,2024-05-20,Beijing,1
135.33.42.30.62.226-90,Female,60,JZRS54972779854739,Pioneer Savings,6907.69,8191,40258.71,Credit,2022-07-07,Beijing,1
246.180.135.87.14.36-10,Male,42,PGKG94910038540292,Capital Trust,9870.82,1995,25582.98,Credit,2024-02-07,Tokyo,1
235.66.181.136.112.14-10,Female,26,CFHA99637933408988,Unity Bank,6906.08,6868,32923.76,Debit,2022-02-02,Mumbai,1
192.91.177.128.63.198-87,Female,66,DARY96604201030052,Pioneer Savings,4069.01,8781,26962.74,Credit,2022-11-06,Mumbai,0
139.253.15.136.40.70-51,Female,70,LSZC23634021131773,Capital Trust,7551.04,9296,27058.73,Debit,2024-03-20,Mumbai,0
217.17.119.223.197.7-75,Male,63,TWML22257335540695,Capital Trust,650.63,6941,29814.47,Debit,2024-02-20,Beijing,1
174.23.34.187.106.229-50,Female,60,SASZ26434860233033,Pioneer Savings,7371.26,9161,49493.29,Credit,2023-01-04,London,1
200.84.119.142.21.208-52,Male,42,FRTK14971603183040,Unity Bank,4437.01,7285,25769.27,Credit,2023-11-25,Sydney,0
240.125.160.25.146.36-57,Male,72,PMZY36541537914567,Summit Bank,3869.15,3815,6732.78,Debit,2024-10-12,Beijing,1
73.32.172.130.47.163-46,Female,32,RXVZ70513111687010,Capital Trust,4637.07,7479,32029.36,Credit,2023-03-23,Beijing,1
142.10.72.214.109.235-61,Female,27,FOVU55470510549780,Summit Bank,1904.74,3524,37296.16,Debit,2023-08-30,Mumbai,1
135.103.159.193.98.73-50,Female,24,ZFNE39510784274188,Capital Trust,7153.85,4789,35118.02,Debit,2024-01-30,Beijing,1
195.69.175.227.138.173-15,Female,43,JZTA79446203259128,Summit Bank,25.02,8270,24622.89,Debit,2024-01-18,New York,1
167.91.166.111.252.98-57,Female,31,DFUP99860194123073,Unity Bank,4072.87,7060,24541.37,Credit,2024-07-29,Beijing,0
96.63.36.47.113.90-78,Male,39,KLFK37357360642971,Capital Trust,8860.8,4103,16424.8,Credit,2023-03-21,Mumbai,1
106.180.114.209.84.25-47,Female,54,WJLG10262934025283,Capital Trust,8895.69,9164,8026.93,Debit,2024-07-01,Mumbai,0
132.34.216.39.235.14-60,Male,40,CXUO89760261825724,Global Bank,7985.42,8816,10168.91,Credit,2024-05-11,Tokyo,0
85.63.122.150.68.244-10,Male,57,WMME48316132693491,Capital Trust,2514.77,4749,14992.2,Debit,2024-01-02,London,0
188.91.83.58.76.127-97,Male,21,RVUD26148563872981,Pioneer Savings,8984.23,5580,35667.46,Credit,2022-03-10,Berlin,1
194.206.228.19.97.193-69,Female,72,BFVQ26101048912488,Summit Bank,9785.57,4606,31087.81,Credit,2023-01-12,Sydney,1
163.224.222.163.162.64-96,Male,61,WSMT37224959014340,Pioneer Savings,8781.81,9377,47277.3,Debit,2024-10-10,Berlin,1
27.146.216.183.87.205-21,Female,27,TJLQ15432462872904,Unity Bank,5660.31,7433,22351.72,Credit,2022-06-27,Tokyo,1
229.204.108.120.130.253-18,Male,59,XDMI91571926658223,Pioneer Savings,2496.47,3860,11137.89,Debit,2024-05-28,Sydney,1
165.213.77.39.95.46-44,Male,29,SJOO61838558553893,Summit Bank,1438.7,4449,40198.57,Credit,2024-05-15,Sydney,1
78.211.96.71.237.155-51,Male,74,TJCL62444986559166,Global Bank,6144.58,8987,12061.1,Credit,2023-07-28,London,0
174.247.177.255.88.42-11,Male,48,HIDP44835718381809,Summit Bank,2248.46,9846,10234.5,Debit,2022-06-12,Berlin,0
248.171.83.195.184.238-26,Female,50,OJCD08770674866075,Summit Bank,1776.15,8189,46063.82,Debit,2023-09-21,Berlin,0
34.179.218.221.216.247-52,Female,50,WRZE26099671345187,Capital Trust,4816.91,4216,32482.09,Credit,2022-01-22,Berlin,1
153.197.214.126.218.186-19,Male,63,QAFJ53226705146531,Capital Trust,2693.11,5733,38439.0,Credit,2023-02-28,Tokyo,0
25.138.195.4.185.114-81,Male,24,YNHW50977835893011,Capital Trust,1420.74,8872,33337.04,Credit,2023-04-06,Sydney,0
144.190.145.223.218.86-76,Male,25,HLQQ09916787692470,Unity Bank,8801.45,3318,11831.74,Debit,2022-07-07,London,1
35.222.238.209.15.111-61,Male,33,PVJL64113804547505,Capital Trust,1307.99,5828,41597.98,Credit,2022-12-26,London,1
32.43.13.244.108.134-11,Female,59,ZMXC24830733682383,Summit Bank,2746.85,5371,4571.68,Credit,2022-08-16,Mumbai,0
61.158.150.210.143.39-32,Male,24,GGSY22397344659920,Global Bank,8067.39,1676,32495.05,Debit,2022-03-10,Mumbai,1
185.37.23.133.110.166-51,Female,73,EPQN72028046093658,Pioneer Savings,6572.08,8788,26774.52,Debit,2024-01-12,Sydney,1
117.111.31.142.137.1-53,Female,43,GFQE47296309173018,Global Bank,1573.21,8028,43815.23,Debit,2024-06-06,New York,1
233.194.67.229.227.42-45,Male,64,RSGC13111305465225,Pioneer Savings,9995.85,3081,37149.06,Credit,2024-10-28,New York,0
180.114.55.174.246.158-75,Female,30,VOXF09789587398874,Capital Trust,9721.23,6341,15618.99,Credit,2024-02-14,Beijing,1
193.229.31.19.105.239-69,Male,56,BJYR91554719594429,Global Bank,8444.17,2833,47228.02,Credit,2022-08-22,Sydney,1
77.45.12.202.119.56-53,Male,80,VGOO67002756687755,Capital Trust,9635.27,9609,9684.11,Credit,2024-08-08,Tokyo,0
178.70.194.200.185.34-22,Male,45,VNQG25402511490741,Summit Bank,3763.98,1479,39592.67,Debit,2022-06-03,New York,1
203.121.77.158.151.149-71,Male,48,HILV06559938785417,Capital Trust,4800.56,6961,41466.81,Debit,2022-03-25,London,1
211.195.77.114.174.77-12,Female,43,AEIQ45716607528432,Capital Trust,3176.32,3863,9379.37,Debit,2023-04-08,Tokyo,0
246.68.168.93.43.84-22,Male,54,PBYY32951620443224,Capital Trust,649.06,1678,37732.75,Debit,2023-10-16,Tokyo,1
191.58.197.82.120.87-53,Male,42,INBS67295292001282,Pioneer Savings,4062.27,7219,30981.84,Debit,2024-03-16,Berlin,1
36.54.51.106.33.69-40,Female,43,KJSF68355482141031,Summit Bank,5472.63,8305,11921.87,Debit,2022-03-23,Tokyo,0
56.251.75.141.74.65-70,Female,72,ZHEP53859639820774,Summit Bank,323.26,1585,23846.61,Credit,2023-10-10,Mumbai,1
222.15.253.106.112.34-98,Male,50,WVUS71887386983885,Pioneer Savings,4480.08,8850,48339.75,Credit,2024-03-17,Mumbai,0
9.41.220.1.128.174-85,Male,68,VNDF54952943936325,Summit Bank,4067.8,3210,13711.98,Debit,2023-08-13,Sydney,1
40.250.184.189.186.80-49,Male,75,HCIB96038001900188,Unity Bank,4522.92,3088,36366.83,Debit,2024-05-30,Tokyo,0
243.246.99.16.247.175-21,Female,34,RWZM34739082949683,Summit Bank,592.94,6241,11453.29,Debit,2022-06-07,London,0
230.29.187.125.143.152-34,Female,58,BXDG57538442709742,Pioneer Savings,7741.92,8943,25379.78,Debit,2024-11-07,New York,0
150.16.43.175.142.169-95,Female,60,ABVJ69567306723434,Pioneer Savings,15.7,6044,10417.57,Credit,2024-04-01,Mumbai,1
133.242.83.234.158.84-61,Female,58,YVRK32959553933054,Global Bank,8193.36,5142,49511.96,Debit,2024-03-18,New York,0
204.73.247.105.164.201-39,Female,47,XVGJ43569845843725,Global Bank,8114.65,2613,13186.41,Credit,2024-06-07,New York,0
46.115.63.5.206.218-57,Male,72,WRIC74320877603474,Pioneer Savings,1788.86,3134,32797.15,Debit,2023-05-08,Berlin,0
130.44.208.182.167.44-80,Male,26,TAPO38905330132093,Global Bank,7984.98,8757,3858.17,Credit,2024-03-03,Tokyo,1
172.74.194.224.161.217-42,Male,62,WRAD65636660502580,Pioneer Savings,8403.37,9050,11374.04,Credit,2022-06-02,Berlin,1
213.203.82.235.186.138-38,Male,69,EXTD83711858173280,Global Bank,925.4,5170,25564.86,Debit,2024-04-04,Beijing,1
169.210.17.215.227.186-72,Male,49,ABNV40584258717307,Unity Bank,6921.16,3960,26515.62,Credit,2022-08-12,Berlin,0
240.211.251.27.5.88-31,Female,48,ZANI60651806928442,Global Bank,8323.64,9888,48087.0,Credit,2023-02-02,London,0
119.242.246.75.199.39-36,Female,64,BYEG18283810964505,Unity Bank,2289.89,6398,20326.96,Credit,2023-10-20,Mumbai,0
161.63.21.164.246.45-27,Male,49,VOZP35648087360273,Global Bank,5309.89,8617,43925.14,Credit,2022-05-11,New York,1
221.131.213.40.79.206-83,Female,41,RDVJ34455013764350,Summit Bank,8433.57,2524,22816.34,Credit,2022-04-23,Tokyo,0
41.171.126.5.105.172-69,Male,25,EKJU32129814750958,Capital Trust,2973.35,5201,31939.77,Credit,2022-08-20,Berlin,1
226.255.38.19.176.99-72,Female,49,JQIL60086779667251,Pioneer Savings,214.34,6308,16866.73,Debit,2024-07-05,Sydney,1
168.1.191.196.251.49-28,Male,38,CAPK58120444263009,Unity Bank,9202.83,7982,26138.81,Debit,2023-12-11,London,1
120.234.142.199.80.133-14,Male,25,YIAF64978511187390,Capital Trust,4770.41,7726,4684.13,Credit,2022-10-30,Berlin,0
176.122.41.17.80.50-33,Male,57,BWTQ67225399858505,Capital Trust,4121.22,2263,12888.9,Credit,2023-06-09,Sydney,1
167.139.77.152.133.161-46,Female,57,FUVU40611536031352,Pioneer Savings,5726.49,2682,42880.76,Debit,2023-08-20,Beijing,0
37.44.11.92.213.38-19,Male,68,WDGM68230063420351,Pioneer Savings,5596.63,7732,10095.66,Debit,2024-04-08,London,0
227.202.53.18.167.103-55,Female,32,WVOQ63969253524857,Unity Bank,2637.12,8953,9484.8,Debit,2024-03-01,Beijing,0
195.143.39.45.104.100-17,Male,69,TJXR16182003100077,Global Bank,2884.35,1346,22321.06,Credit,2022-06-11,Berlin,1
102.172.228.3.196.14-25,Female,19,JRZH48294182679200,Pioneer Savings,7164.02,1979,21171.38,Credit,2023-11-28,Sydney,0
87.251.45.54.67.113-11,Female,35,HDNZ34863476848620,Unity Bank,9111.9,6125,32936.89,Debit,2022-11-23,Beijing,0
234.244.37.70.93.92-32,Male,23,VTEO82635307050689,Capital Trust,8002.71,2119,31625.95,Credit,2023-10-21,Mumbai,1
170.251.165.133.218.121-38,Female,67,QARM72053007702751,Capital Trust,8922.86,9963,12950.14,Debit,2023-10-01,Berlin,1
239.43.117.6.71.74-74,Female,22,ZKIG58490158562209,Unity Bank,5410.13,5635,39171.79,Debit,2024-06-05,London,0
176.99.180.160.6.80-69,Female,74,NYRV52994235060962,Global Bank,8819.14,8213,48754.05,Debit,2024-08-12,Mumbai,0
136.175.164.207.196.126-87,Female,35,OQZP67817621104068,Global Bank,4446.35,5325,32418.36,Debit,2024-02-26,Sydney,1
23.102.3.20.97.141-45,Female,46,FBSC17172868341749,Global Bank,2634.96,8390,20185.61,Credit,2022-02-17,Tokyo,0
229.15.226.168.93.143-40,Male,32,SGJK03070031843400,Capital Trust,8421.51,5621,44883.34,Credit,2023-10-12,London,1
190.177.131.145.9.200-71,Female,22,ZFAM80191004443454,Pioneer Savings,2852.17,4161,14597.07,Debit,2024-02-15,Tokyo,1
122.250.99.166.71.56-37,Female,19,DQOB32275447903954,Global Bank,8517.83,5855,27261.65,Debit,2023-03-05,Mumbai,1
255.115.143.232.143.97-65,Female,36,XAZV49864927117764,Pioneer Savings,1132.09,5437,8348.08,Debit,2023-07-16,Beijing,0
163.175.107.75.214.103-36,Female,27,KTLY80143826468452,Pioneer Savings,5872.85,4959,45259.12,Debit,2024-06-03,Sydney,0
254.225.242.2.119.137-24,Female,68,RUKF94322791465171,Capital Trust,1383.5,9060,21916.51,Debit,2022-06-01,Berlin,1
191.65.55.43.106.191-81,Male,49,UFZM64006823123651,Summit Bank,8161.68,5294,27060.03,Debit,2024-01-13,Mumbai,1
12.119.177.239.252.18-94,Male,40,JOHS92225713479316,Global Bank,2332.05,1279,48865.18,Debit,2022-06-15,Mumbai,1
44.16.79.18.138.96-86,Female,44,FGUZ19842016040679,Capital Trust,218.6,6493,32229.72,Debit,2022-05-29,Tokyo,1
158.248.18.170.157.82-87,Female,22,YADC99587863761480,Pioneer Savings,1008.45,6891,8886.96,Credit,2024-07-08,Mumbai,0
237.58.78.58.193.69-53,Female,73,EORW18802115034491,Unity Bank,8796.93,2153,46916.03,Debit,2023-01-04,Beijing,1
45.149.52.169.132.5-53,Female,68,MHWC41243520156436,Capital Trust,587.01,9002,39321.51,Credit,2024-04-07,London,1
14.202.142.117.63.86-54,Female,54,RQRE41494685817533,Capital Trust,7679.27,5690,42422.5,Debit,2024-11-23,Sydney,0
117.217.140.93.104.189-23,Male,49,VQDU30957291421639,Capital Trust,8734.7,6222,26098.25,Credit,2024-09-14,New York,0
125.225.254.105.194.6-93,Female,79,LRDF62793857051973,Pioneer Savings,8413.67,6481,33043.18,Debit,2022-12-12,Beijing,0
57.148.81.4.111.208-86,Female,47,JPIO72368716823147,Global Bank,6429.99,1677,36683.61,Debit,2024-05-18,Sydney,0
253.157.242.221.128.53-61,Male,27,MLKC65173651079296,Capital Trust,8304.88,3973,33073.41,Debit,2022-02-05,Tokyo,1
251.108.70.177.72.88-47,Female,35,BTRJ08027893925137,Unity Bank,8680.12,6099,39755.2,Debit,2024-02-18,London,1
91.107.212.114.225.106-24,Male,42,RMBN20103361943122,Global Bank,9597.86,4853,27221.99,Credit,2022-10-01,Berlin,0
174.58.188.38.149.212-21,Female,40,WHLX44810259525486,Global Bank,6688.06,7522,20393.52,Credit,2023-02-04,Beijing,1
100.48.63.166.159.89-63,Female,77,NWWD21656718827374,Summit Bank,1714.13,1399,18987.11,Credit,2022-03-26,Mumbai,1
253.13.100.108.39.97-43,Male,60,TQKW78861425031334,Summit Bank,5918.72,2837,49802.26,Credit,2024-11-14,London,1
55.87.83.53.145.2-37,Female,79,BCYC49416830489237,Summit Bank,3456.84,3145,40173.29,Debit,2024-01-17,Beijing,0
146.172.31.152.21.53-98,Male,41,MKMQ98632877113101,Capital Trust,2901.41,9209,8214.58,Credit,2024-09-11,London,1
122.70.212.62.75.206-22,Male,23,NPIG44449653797639,Unity Bank,751.41,8310,11841.04,Credit,2022-03-06,New York,1
212.107.75.77.193.149-89,Male,45,HYUP64287065194518,Global Bank,7121.54,7199,15681.69,Credit,2022-10-25,Berlin,1
140.95.104.116.36.162-14,Male,56,JLXJ44910047639529,Summit Bank,8298.93,9434,26970.75,Debit,2023-03-14,Sydney,0
103.78.176.82.62.62-74,Male,57,DEOG24225192300178,Capital Trust,7583.32,4197,30979.34,Credit,2022-04-18,Beijing,1
84.102.81.194.121.132-23,Male,42,ECMH80123443382698,Pioneer Savings,8584.17,3244,21102.83,Credit,2022-07-09,Tokyo,0
184.84.131.132.166.39-51,Male,62,COCL50672337745988,Unity Bank,9604.03,4635,18274.22,Debit,2024-11-17,Sydney,1
44.161.90.231.57.112-54,Female,69,BCMC96938150842405,Summit Bank,5426.04,8031,1798.2,Debit,2024-06-16,New York,0
157.126.232.198.45.250-37,Male,29,ANGM00742764620985,Summit Bank,813.68,1127,18504.89,Debit,2022-11-09,London,0
201.11.191.66.101.221-88,Female,74,PGFD19566278864235,Summit Bank,6304.61,1463,17127.15,Debit,2023-02-14,Mumbai,1
94.155.119.98.54.151-70,Female,31,GXCK60422116917580,Pioneer Savings,5149.51,6015,49787.16,Debit,2022-07-31,New York,0
94.21.49.219.213.212-72,Male,58,IXMH25217760414394,Unity Bank,2595.91,4675,46170.24,Credit,2022-05-04,Tokyo,1
7.220.106.64.133.109-49,Male,39,DKQN43416556464542,Pioneer Savings,9341.03,4997,13620.94,Debit,2023-04-21,Tokyo,1
193.229.218.255.185.123-43,Female,36,WFNN84025139335386,Global Bank,5495.32,9391,14418.64,Debit,2024-06-25,Mumbai,1
119.64.191.166.51.245-53,Female,54,AASM13978293547562,Unity Bank,4851.62,3323,1316.73,Credit,2022-09-08,Tokyo,0
13.75.170.242.168.221-86,Female,48,SFFE98173040557581,Capital Trust,7454.46,4855,21369.5,Credit,2022-07-02,Sydney,0
9.207.230.96.94.250-69,Male,36,GVJO56386590840419,Capital Trust,9443.42,3550,43532.07,Credit,2023-02-21,London,0
46.164.251.228.62.16-33,Male,61,DRKA38648218000766,Summit Bank,8411.15,3673,4970.98,Debit,2023-10-07,Sydney,1
6.114.119.103.243.234-69,Male,73,HZXB16532800454503,Pioneer Savings,5730.72,1360,33801.64,Debit,2022-08-23,Tokyo,1
